Parametros,Rodada,Acuracia,F1ScoreMacro,TempoProcessamento,DataExecucao,Estatisticas
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",0,0.77,0.5857086636307415,0.037138938903808594,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",1,0.72,0.5777976190476191,0.029170751571655273,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",2,0.8,0.6437062937062935,0.03523397445678711,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",3,0.8,0.64755291005291,0.029500722885131836,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",4,0.83,0.6613619185047755,0.02600240707397461,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",5,0.76,0.6028316676464824,0.02700209617614746,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",6,0.76,0.6155844155844156,0.025551319122314453,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",7,0.83,0.6531954887218046,0.031556129455566406,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",8,0.83,0.6766573295985061,0.031401872634887695,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",9,0.88,0.7267676767676768,0.029021024703979492,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",0,0.86,0.7279007377598926,0.05553555488586426,2024-02-24 22:29:59,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",1,0.79,0.6414220482713633,0.10664582252502441,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",2,0.85,0.6885844748858447,0.1590437889099121,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",3,0.87,0.7531265031265031,0.07335305213928223,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",4,0.9,0.7627705627705628,0.06943321228027344,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",5,0.85,0.7020282186948853,0.06738066673278809,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",6,0.82,0.6786049631120054,0.06675529479980469,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",7,0.88,0.7331691297208538,0.06272411346435547,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",8,0.9,0.7970734126984127,0.06983184814453125,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": null}",9,0.95,0.8777777777777779,0.07868099212646484,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",0,0.79,0.6259684038904818,0.05910849571228027,2024-02-24 22:30:00,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",1,0.75,0.5866666666666667,0.04991340637207031,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",2,0.79,0.6092827004219409,0.062435150146484375,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",3,0.79,0.6203631224179169,0.06520867347717285,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",4,0.85,0.6825259396687969,0.05236411094665527,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",5,0.83,0.6792815371762739,0.04810619354248047,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",6,0.73,0.5857142857142857,0.04640460014343262,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",7,0.85,0.6957716872827229,0.0469663143157959,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
